variable,subgroup,n,cases,controls,status,brier,calibration_intercept,calibration_slope,ece
RIAGENDR,female,3037,493,2544,evaluated,0.11368168246093444,-0.05581214399456012,1.0341177308690832,0.013449966323672402
RIAGENDR,male,2515,456,2059,evaluated,0.11478345090462215,0.26871493635314947,1.274673384993806,0.031138255524863795
age_group,18-39,1562,88,1474,evaluated,0.05101704032087726,0.9044052556511192,1.441201036853676,0.018502479686290558
age_group,40-59,1557,183,1374,evaluated,0.09406389186803635,0.07266224541795062,1.0534833664460743,0.017752170813252744
age_group,60+,2433,678,1755,evaluated,0.16760606331247005,0.1376156903620615,1.2722929807493328,0.031127146830629726
has_diabetes_dx,no,4618,587,4031,evaluated,0.09616000607630243,-0.029901523955915738,1.0798136358894224,0.018427370676078466
has_diabetes_dx,yes,743,317,426,evaluated,0.21555612212088715,0.24049274451178806,1.3461801388620216,0.05167540656523347
has_diabetes_dx,nan,191,45,146,evaluated,0.15553163278952253,0.3211857169016135,1.1420744499505302,0.06205713023044472
has_htn_dx,no,3541,342,3199,evaluated,0.08018369431932151,-0.12484712086406806,1.0120160860071807,0.013143661841933342
has_htn_dx,yes,2008,607,1401,evaluated,0.17414777614177082,0.21744911791612537,1.3260921133015047,0.03951648958146675
has_htn_dx,nan,3,0,3,insufficient_events,,,,
