model,metric,mean,sd,ci_low_95,ci_high_95
Logistic Regression,roc_auc,0.7808045337603562,0.016424949460389707,0.7604102653430739,0.8011988021776385
Logistic Regression,pr_auc,0.4798835114559455,0.013953497897861766,0.4625579554671586,0.49720906744473237
Logistic Regression,brier,0.13638571826134227,0.028313423540583076,0.10122995958510525,0.1715414769375793
Logistic Regression,log_loss,0.43060629892460167,0.07131604836399484,0.34205572917687066,0.5191568686723327
Random Forest,roc_auc,0.7878571013336731,0.014980165097080158,0.7692567696454801,0.8064574330218662
Random Forest,pr_auc,0.48380604003651156,0.02060093701746571,0.4582265982126611,0.509385481860362
Random Forest,brier,0.129720928562637,0.015284877268979168,0.11074224674078247,0.14869961038449153
Random Forest,log_loss,0.4114813851470158,0.04039823503310338,0.3613203511154372,0.46164241917859444
HistGradientBoosting,roc_auc,0.7818537933108032,0.019906932379326538,0.7571360720607165,0.8065715145608898
HistGradientBoosting,pr_auc,0.4774678220530797,0.023680163184234885,0.448065015955625,0.5068706281505344
HistGradientBoosting,brier,0.12371962333799649,0.0022775795866497727,0.12089163476220965,0.12654761191378333
HistGradientBoosting,log_loss,0.39725640672223955,0.008024680741272144,0.38729244954872283,0.4072203638957563
XGBoost,roc_auc,0.7870783580223495,0.019987180469253435,0.762260995608076,0.811895720436623
XGBoost,pr_auc,0.49084417006574166,0.026874209586846196,0.4574754315415722,0.5242129085899111
XGBoost,brier,0.1319596626097747,0.022255915793097807,0.10432529322243053,0.15959403199711888
XGBoost,log_loss,0.417292493982062,0.05810366828112654,0.34514726091381304,0.4894377270503109
LightGBM,roc_auc,0.7816603002793986,0.02012980646237257,0.7566658443042611,0.8066547562545361
LightGBM,pr_auc,0.47794022618644816,0.027316984145327267,0.4440217104336922,0.5118587419392041
LightGBM,brier,0.15719548257691277,0.0328154628653077,0.11644970375266758,0.19794126140115795
LightGBM,log_loss,0.4822996934441905,0.0856015415026549,0.37601134116959833,0.5885880457187826
