feature,importance_mean,importance_sd
RIDAGEYR,0.11507935563167541,0.006288460208467244
has_diabetes_dx,0.03065775584576591,0.002812761241598858
has_htn_dx,0.01583192296589442,0.00279400254668948
mean_sbp,0.009823059456115802,0.0017482845449072078
INDFMPIR,0.003927593837985665,0.001394400429702186
BMXBMI,0.0028453748151144836,0.0008472685762191757
mean_dbp,0.0013871163115698507,0.0003468911944976039
DMDEDUC2,0.0008174408025308332,0.0003635278170081024
RIAGENDR,0.00036151038772900266,0.00016656874221979026
BMXWAIST,0.0002441482819079151,0.00043699239549339534
smoked_100_cigs,-7.791073474994193e-06,5.9668078106278707e-05
ALQ130,-0.0005253404092458965,0.0007439189502825398
