variable,subgroup,n,cases,controls,status,roc_auc,roc_auc_ci_low,roc_auc_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high
RIAGENDR,female,3037,493,2544,evaluated,0.7709971838442599,0.7469158758869974,0.793772511092368,0.7910750507099391,0.7534584827274591,0.8279292703024872,0.610062893081761,0.5919275544197508,0.6279811246439096,0.4404701396374924,0.39731451427078024,0.48543209601449494
RIAGENDR,male,2515,456,2059,evaluated,0.8199011826555217,0.7989174023848626,0.8400966303606643,0.8618421052631579,0.8303550950196593,0.8930146132527085,0.5959203496843127,0.5756635925441905,0.6166958863906574,0.5338970135366412,0.48758043238707577,0.5758234371421087
RIDRETH1,mexican_american,392,48,344,evaluated,0.7205668604651163,0.6351504608533391,0.7994823701619862,0.6666666666666666,0.5226799242424243,0.8,0.7151162790697675,0.6666428571428571,0.7624845997674782,0.3418677633700236,0.23054414542951857,0.4916032739647439
RIDRETH1,non_hispanic_black,645,157,488,evaluated,0.7994283178448367,0.7600057290230642,0.8352880894292799,0.8280254777070064,0.7706765420717399,0.8862416676081798,0.5737704918032787,0.5287986004996483,0.6161861715640613,0.5741394702227646,0.4937423128100905,0.6525151824545439
RIDRETH1,non_hispanic_white,3286,556,2730,evaluated,0.8038810709674019,0.7822035044872718,0.8238221334110013,0.8597122302158273,0.8299445471349353,0.8890816108239832,0.5761904761904761,0.5577320211397456,0.5944210851091689,0.48481389004196224,0.44498937805797495,0.5302070948036653
RIDRETH1,other_hispanic,580,79,501,evaluated,0.7463048586371561,0.6871241839477725,0.8027789526858913,0.6835443037974683,0.5833333333333334,0.7875094696969697,0.6506986027944112,0.6078008923056376,0.689166984275299,0.4033016547033046,0.29763818098868067,0.5155879241315097
RIDRETH1,other_or_multiracial,649,109,540,evaluated,0.8072035338090384,0.7595548623837297,0.8543545584156079,0.8165137614678899,0.7399873949579832,0.8879549808429119,0.6555555555555556,0.6157876905324173,0.6951076441499192,0.5157543431448139,0.41460171610219987,0.6190523133923798
age_group,18-39,1562,88,1474,evaluated,0.6302462378191687,0.5627817197567397,0.6910184729076615,0.22727272727272727,0.14606156367041198,0.3118635833657209,0.9579375848032564,0.9473994627428401,0.968028838826773,0.18452235086587707,0.11706258720627767,0.27239053063912094
age_group,40-59,1557,183,1374,evaluated,0.7174775892651188,0.6760769810860826,0.7561950246178774,0.6065573770491803,0.5345876213237087,0.6700039267015707,0.7248908296943232,0.7023109123463956,0.7481841460282125,0.31422393112796543,0.24586067593323926,0.38596220338496756
age_group,60+,2433,678,1755,evaluated,0.7593193488473724,0.7364882195150145,0.7786326678242744,0.9616519174041298,0.9470354629928026,0.9752795815295815,0.21139601139601139,0.19224131629204463,0.2313332477943153,0.5460467366035332,0.5089374315583508,0.5832931310218893
has_diabetes_dx,no,4618,587,4031,evaluated,0.7622459161261721,0.7406345899038813,0.7831603376674945,0.7240204429301533,0.6869786852502515,0.7596023178558383,0.6755147606053089,0.660599966096329,0.6899138336766624,0.35535918312096754,0.32082993805319887,0.39917637913277726
has_diabetes_dx,yes,743,317,426,evaluated,0.7021445180018069,0.6667609465793614,0.7390815564559059,1.0,1.0,1.0,0.0,0.0,0.0,0.6639672326663466,0.6170373104019035,0.714878316089212
has_diabetes_dx,nan,191,45,146,evaluated,0.7549467275494672,0.6765596827719564,0.826542978994581,0.9111111111111111,0.822202380952381,0.9811320754716981,0.3835616438356164,0.302616125044154,0.4648009585289515,0.5004334012927584,0.3704360511149966,0.645111244929963
has_htn_dx,no,3541,342,3199,evaluated,0.7253902443928932,0.6947725811426201,0.7541224960250638,0.5614035087719298,0.5118325791855203,0.6130394643589838,0.7974366989684276,0.7840690745517188,0.8114221121157846,0.24897355068853935,0.21186438136583233,0.29354243752866743
has_htn_dx,yes,2008,607,1401,evaluated,0.7607957131114867,0.7387932679541871,0.7836125759728556,0.9736408566721582,0.9609725718253623,0.9854877077662594,0.16131334760885083,0.14193536766756532,0.1797934748523432,0.5796677042779416,0.5395899385966142,0.6186526879450734
has_htn_dx,nan,3,0,3,insufficient_events,,,,,,,,,,,,
